institution_id,project_id_number
18815,285679775
18815,254868190
18815,253102510
18815,275543904
18815,262640928
18815,233380263
18815,308500591
18815,94717299
18815,5252842
18815,5328921
18815,5408213
18815,5446674
18815,279420232
18815,118353741
18815,5267096
18815,230092553
18815,283781775
18815,200806002
18815,5359394
18815,5293904
18815,5368102
18815,56706289
18815,234426947
18815,193664513
18815,57792042
18815,5483209
18815,5357123
18815,5158736
18815,5440375
18815,5158826
18815,316574588
18815,179365866
18815,179404295
18815,29937981
18815,126299379
18815,29918590
68154951,194290965
68154951,68134415
36207284,240142508
36207284,218391987
10161,323050238
10161,264557697
10161,5261718
10161,136785537
10161,5143472
10161,227590374
10161,5429348
10161,5283252
10161,268795081
10161,265360031
10161,221753399
10161,274038790
12997,5208565
12997,18653635
20730010,5232316
20730010,5296508
20781316,259034584
20781316,5446717
183685435,149751399
10580,5187996
10580,108236535
20770336,271050501
20770336,252864886
20770336,341428181
20770336,298847574
20770336,167739190
20770336,118517399
20770336,65677157
20770336,286020766
20770336,282226934
20770336,29487672
20770336,5157936
10514,206697756
10514,271177
10514,818681
10514,39932880
15580337,69077979
15580337,252054368
981897,5452546
20708556,56297370
165974650,165973554
387962414,387127256
234624290,114462072
234624290,237488018
20252235,206980909
20252235,337946415
20780530,248404768
20780530,65266953
20780530,5443733
20780530,290827466
20723342,5262178
252482584,220581848
252482584,5451301
252482584,5318488
252482584,185181740
21092964,257620856
21092964,279507623
21092964,290441008
21092964,314694008
10309,276121917
10309,386180509
10309,153498824
10309,86381637
10106,240722219
10106,320362218
10106,241239807
10106,240870574
10106,180386707
10106,235273584
10106,5091346
10106,5091360
10106,5157572
10106,193761297
58344594,186213123
13177,118517668
13177,192973666
13177,162817544
13177,49619762
13177,5245044
13177,38887451
233818827,249960080
15274623,257866065
15274623,315394535
15274623,365860590
15274623,257472439
15274623,5409510
15274623,316076679
15274623,196789997
15274623,243472732
47674317,224265735
47674317,325411545
47674317,258979342
47674317,387680852
47674317,377411265
47674317,372597846
47674317,316996707
47674317,195259993
47674317,189872554
47674317,158253725
47674317,107273346
47674317,5388271
47674317,5377391
47674317,215345915
47674317,5425246
47674317,5222518
47674317,24510509
47674317,54083801
47674317,5403012
47674317,24695477
47674317,5397132
47674317,64612062
47674317,219830730
47674317,118804238
47674317,5297670
47674317,319408161
47674317,223244250
47674317,5273032
47674317,5359918
47674317,5137185
47674317,5186870
47674317,5361898
47674317,5449910
47674317,56522329
274385058,404687549
10070,22749352
10070,311018540
10070,374032376
10070,189200501
10070,286004564
381209017,381206548
388241311,392197354
388241311,277939344
