name,address,phone,fax,email,internet
"Royal Botanic Gardens Kew, UK","Royal Botanic Gardens Kew, UK",null,null,null,null
"Muséum national d’histoire naturelle, Frankreich","Muséum national d’histoire naturelle, Frankreich",null,null,null,null
"Royal Botanic Garden Edinburgh, UK","Royal Botanic Garden Edinburgh, UK",null,null,null,null
Museum für Naturkunde Berlin,Museum für Naturkunde Berlin,null,null,null,null
"Magyar Termeszettudomanyi Muzeum, Ungarn","Magyar Termeszettudomanyi Muzeum, Ungarn",null,null,null,null
"Národní muzeum, Tschechische Republik","Národní muzeum, Tschechische Republik",null,null,null,null
Universität Genf,Universität Genf,null,null,null,null
"Consiglio Nazionale delle Ricerche, Italien","Consiglio Nazionale delle Ricerche, Italien",null,null,null,null
Deutsches GeoForschungsZentrum,Deutsches GeoForschungsZentrum,null,null,null,null
Internationales Institut für angewandte Systemanalyse,Internationales Institut für angewandte Systemanalyse,null,null,null,null
Helmholtz-Zentrum für Umweltforschung,Helmholtz-Zentrum für Umweltforschung,null,null,null,null
Universität Kalabrien,Universität Kalabrien,null,null,null,null
Universität Padua,Universität Padua,null,null,null,null
Aristoteles-Universität Thessaloniki,Aristoteles-Universität Thessaloniki,null,null,null,null
