project_id_number,institution_id,relation_type
5114462,10321,APPLYING
5114468,10335,APPLYING
5114474,10321,APPLYING
5114480,10321,APPLYING
5114486,10321,APPLYING
5114504,10321,APPLYING
5116264,10363,APPLYING
5116276,10363,APPLYING
5116282,10363,APPLYING
5116294,10363,APPLYING
5116312,10363,APPLYING
5116348,10363,APPLYING
5116386,10363,APPLYING
5116398,10363,APPLYING
5116404,10363,APPLYING
5116414,10363,APPLYING
5116459,10363,APPLYING
5116496,10363,APPLYING
5116508,10363,APPLYING
5116514,10363,APPLYING
5116998,10125,APPLYING
5117176,10108,APPLYING
5117182,10108,APPLYING
5117188,10125,APPLYING
5117194,10108,APPLYING
5117218,10125,APPLYING
5117236,10125,APPLYING
5117273,10125,APPLYING
5117280,10125,APPLYING
5117300,10108,APPLYING
5117318,10125,APPLYING
5117336,10125,APPLYING
5117348,10125,APPLYING
5117354,10125,APPLYING
5117360,10108,APPLYING
5117366,10125,APPLYING
5117378,10125,APPLYING
5117384,10125,APPLYING
5117410,10125,APPLYING
5117416,10125,APPLYING
5117420,10108,APPLYING
5117484,10053,APPLYING
5117488,10053,APPLYING
5117494,10053,APPLYING
5117500,10053,APPLYING
5117506,10053,APPLYING
5117518,10053,APPLYING
5117524,10053,APPLYING
5117536,10053,APPLYING
5117540,10053,APPLYING
5117546,10053,APPLYING
5117556,10053,APPLYING
5117568,10053,APPLYING
5117576,10053,APPLYING
5117582,10053,APPLYING
5117804,10206,APPLYING
5118690,10108,APPLYING
5119726,10293,APPLYING
5119732,10293,APPLYING
5119738,10293,APPLYING
5119744,10293,APPLYING
5119750,10293,APPLYING
5119756,10293,APPLYING
5119762,10293,APPLYING
5119768,10293,APPLYING
5119774,10293,APPLYING
5119780,10293,APPLYING
5119792,10293,APPLYING
5119798,10293,APPLYING
5119804,10293,APPLYING
5119810,10293,APPLYING
5119816,10293,APPLYING
5120936,10286,APPLYING
5121030,10337,APPLYING
5121044,10337,APPLYING
5121050,10337,APPLYING
5121074,10337,APPLYING
5121080,10337,APPLYING
5121092,10337,APPLYING
5121098,10337,APPLYING
5121118,10337,APPLYING
5121136,10337,APPLYING
5121178,10337,APPLYING
5121184,10337,APPLYING
5121196,10337,APPLYING
5121202,10337,APPLYING
5121214,10337,APPLYING
5121226,10337,APPLYING
5121244,10337,APPLYING
5121294,10167,APPLYING
5121318,10167,APPLYING
5121330,10167,APPLYING
5121342,10167,APPLYING
5121356,10167,APPLYING
5121374,10167,APPLYING
5121386,10167,APPLYING
5121392,10167,APPLYING
5121404,10167,APPLYING
5121410,10167,APPLYING
5121638,10117,APPLYING
5121646,10117,APPLYING
5121650,10117,APPLYING
5121656,10117,APPLYING
5121668,10117,APPLYING
5121674,10117,APPLYING
5121692,10117,APPLYING
5121698,10117,APPLYING
5121714,10117,APPLYING
5121734,10117,APPLYING
5121754,10117,APPLYING
5121770,10117,APPLYING
