project_id,subject_area
777777,Dynamische Makroökonomik
777777,Industrie- und Innovationsökonomik
777777,Mechanism Design
785486,Biologische Chemie
785486,Theoretische Chemie
785486,Chemie neuer Materialien
785486,Katalyse
785486,Physikalische Chemie
785486,Chemie
785486,Lebensmittelchemie
785486,Organische Chemie
785486,Pharmazie
795603,Hethitologie
795603,Alte Geschichte
795603,Indologie
795603,Chinesische Archäologie
795603,Klassische Archäologie
795603,Vor- und frühgeschichtliche Archäologie
795603,Ägyptologie
795603,Assyriologie
795603,Sinologie
795603,Vorderasiatische Archäologie
795914,Angewandte Mathematik
795914,Elementarteilchenphysik
795914,Astrophysik
795914,Computational Physics
795951,Rechtsgeschichte
795951,Europarecht
795951,Internationales Recht
795951,Rechtstheorie
795951,Verfassungsrecht
795951,Gewerblicher Rechtsschutz
795951,Strafrecht
795951,Zivilrecht
796242,Homotopie
796242,Mathematik
796242,Kohomologie
796242,Topologie
806681,Chemie- und Bioingenieurwesen
806681,Chemie
806681,Elektrotechnik
806681,Physik
806681,Werkstoffwissenschaften
811503,Chemie
811503,Technische Chemie
811503,Chemische Verfahrenstechnik
811503,Bioverfahrenstechnik
811503,Biologie
811503,Biotechnologie
811503,Verfahrenstechnik
812229,Molekulargenetik
812229,Biochemie
812229,Molekularbiologie
812229,Neurobiologie
812229,Zellbiologie
812229,Immunologie
814910,Biotechnologie
814910,Virologie
814910,Pharmazie
814910,Pharmakologie
814910,Medizin
814910,Immunologie
814910,Chemie
818604,Psychologie
818604,Evolutionäre Anthropologie
818604,Medizin
818604,Biologie
818681,Anthropologie
818681,Soziologie
818681,Ethnologie
818681,Philosophie
818681,Literaturwissenschaften
818681,Geschichte
818681,Wissenschaftsgeschichte
818681,Kunstwissenschaften
818879,Molekulare Zellbiologie
818879,Neurobiologie
818879,Biochemie
818879,Biophysik
818879,Virologie
819604,Informatik
819604,Elektrotechnik
819604,Informationstechnik
819792,Didaktik der Biologie
819792,Pädagogische Psychologie
819792,Schulpädagogik
819792,Religionspädagogik
819792,Didaktik der Geschichte
819792,Sportdidaktik
820981,Angewandte Mathematik
820981,Plasmaphysik
820981,Laser-Plasma-Physik
820981,Theoretische Physik
820988,Klinische Pharmakologie
820988,Virologie
820988,Innere Medizin
820988,Humanmedizin
820988,Geo- und Umweltwissenschaften
820988,Allergologie
820988,Medizinische Mikrobiologie
820988,Hygiene
820988,Nephrologie
820988,Biologie
820988,NanoScience
820988,Gastroenterologie
820988,Dermatologie
823482,Pädiatrie
823482,Molekularbiologie
823482,Ernährungsforschung
823482,Epidemiologie
823482,Innere Medizin
823482,Ernährungsmedizin
823482,Genetik
823482,Präventionsmedizin
823482,Nutztierwissenschaften
823482,Endokrinologie
823482,Pharmakologie
823482,Experimentelle Geburtsmedizin
823482,Diabetologie
883210,Chemie
883210,Elektrotechnik
883210,Materialwissenschaften
883210,Mikroelektronik
883210,Physik
948344,Entwicklungsbiologie
948344,Parasitologie
948344,Tierphysiologie
948344,Mikrobiologie
948344,Genetik
948344,Virologie
948344,Zellbiologie
949699,Energie- und Ladungstransfer
949699,Molekulare Elektronik
949699,Intermolekulare Wechselwirkung
949791,Bauingenieurwesen
949791,Informationstechnik
949791,Mathematik
949791,Psychologie
949791,Pädagogik
949791,Literaturwissenschaften
949791,Informatik
950034,Keramik
950034,Modellierung und Simulation
950034,Materialwissenschaft
950034,Werkstoffanalytik
950034,Oxidation
950034,Mikroskopie
950034,Metalle
950034,Verbundwerkstoffe
950034,Werkstoffwissenschaft
967790,Chemie
967790,Maschinenbau
967790,Materialwissenschaft
967790,Elektrotechnik
967790,Verfahrenstechnik
967790,Physik
967893,Musikwissenschaft
967893,Kirchengeschichte
967893,Religionswissenschaft
967893,Britische Kulturwissenschaft
967893,Nordamerikastudien
967893,Europäische Ethnologie
967893,Germanistische Mediävistik
967893,Politikwissenschaft
967893,Klassische Archäologie
968025,Robotik
968025,Intelligente Systeme
968025,Kognitive Neurowissenschaft
968378,Psychologie
968378,Neurologie
968378,Physiologie
968378,Philosophie
968378,Psychiatrie
968378,Anatomie
968509,Bodenkunde
968509,Physikalische Chemie
968509,Geologie
968509,Mikrobiologie
968509,Mineralogie
968509,Molekularbiologie
968539,Anästhesiologie
968539,Immunologie
968539,Psychiatrie
968539,Neurowissenschaften
968539,Neurophysiologie
968539,Neurologie
968539,Neuroimmunologie
968539,Neurobiologie
968539,Medizin
968539,Anatomie
968612,Afrikanistik
968612,Geografie
968612,Osteuropawissenschaften
968612,Japanologie
968612,Soziologie
968612,Politikwissenschaft
968612,Geschichtswissenschaft
968612,Orientalistik
968710,Geschichte
968710,Philosophie
968710,Rechtswissenschaft
968710,Politikwissenschaft
968940,Mathematik
969236,Bakteriologie
969236,Immunologie
969236,Virologie
969236,Medizinische Mikrobiologie
969236,Humanmedizin
969654,Bioinformatik
969654,Physik
5396893,Diabetologie
5396893,Medizinische Psychologie
5396893,Endokrinologie
5396893,Innere Medizin
5396893,Pathobiochemie
5396893,Vaskuläre Medizin
5396893,Stoffwechsel
5396893,Sportmedizin
5396893,Radiologie
5396893,Psychosomatik
5397027,Biochemie
5397027,Virologie
5397027,Chirurgie
5397027,Hepatologie
5397027,Radiologie
5397027,Psychosomatik
5397027,Pathologie
5397027,Immunologie
5397096,Gastroenterologie und Hepatologie
5397096,Hämatologie und Onkologie
5397096,Virologie
5397096,Pharmakologie
5397096,Pathologie
5397096,Molekularbiologie
5397096,Immunologie
5397363,Chirurgie
5397363,Physiologische Chemie
5397363,Pharmakologie
5397363,Pathologie
5397363,Innere Medizin
5397363,Immunologie
5397363,Gynäkologie
5397363,Dermatologie
5397423,Biologische und Klinische Psychologie
5397423,Psychiatrie und Psychotherapie
5397423,Nuklearmedizin
5397423,Neuroradiologie
5397423,Klinische Neurobiologie
5397423,Kinder- und Jugendpsychiatrie und Psychotherapie
5397495,Innere Medizin
5397495,Psychiatrie
5397495,Physiologie
5397495,Pharmakologie
5397495,Neuroradiologie
5397495,Neurologie
5397495,Neuroendokrinologie
5397495,Mathematik
5397647,Bioinformatik
5397647,Biomathematik
5397647,Biostatistik
5397647,Medizin
5397647,Hepatologie
5397647,Virologie
5397647,Technische Biochemie
5397647,Strukturbiologie
5397647,Pharmazeutische Chemie
5397647,Immunologie
5397725,Anästhesiologie
5397725,Neurologie
5397725,Psychologie
5397725,Physiologie
5397725,Pharmakologie
5397725,Medizin
5397725,Humangenetik
5397725,Chirurgie
5459347,Geologie
5459347,Anorganische Geochemie
5459347,Organische Geochemie
5459347,Seismologie
5459347,Meeresgeologie
5459347,Paläozeanographie
5459347,Vulkanologie
5459347,Strukturgeologie
5459347,Sedimentologie
5459347,Petrologie
5459347,Mineralogie
5459347,Mikropaläontologie
5459347,Mikrobiologie
5459347,Geophysik
5466951,Geochemie
5466951,Geographie
5466951,Geologie
5466951,Kernphysik
5466951,Mineralogie
5466951,Petrographie
5466951,Archäometrie
5466951,Planetologie
5466951,Paläontologie
5466951,Kristallographie
5466951,Geophysik
5468999,Agroökologie
5468999,Bodenkunde
5468999,Ökologie
5468999,Zoologie
5468999,Pflanzenökologie
5468999,Molekulare Ökologie
5468999,Humuschemie
5468999,Hydrologie
5468999,Bodenzoologie
5468999,Entomologie
5468999,Botanik
5468999,Biogeochemie
5469259,Diskrete Mathematik
5469259,Verfahrenstechnik
5469259,Regelungstechnik
5469259,Optimierung
5469259,Numerik
5469624,Differentielle Psychologie
5469624,Entwicklungspsychologie
5469624,Pädagogische Psychologie
5469624,Sozialpsychologie
5469624,Kognitionspsychologie
5469624,Kommunikations- und Medienwissenschaft
5470296,Archäologie
5470296,Physische Geographie
5470296,Archäobotanik
5470327,Didaktik der Biologie
5470327,Lehr-Lernpsychologie
5470327,Empirische Bildungsforschung
5470327,Didaktik der Physik
5470327,Didaktik der Chemie
5470521,Biochemie
5470521,Immunologie
5470521,Molekularbiologie
5470521,Zellbiologie
5470521,Systembiologie
5470521,Physik
5470521,Neurobiologie
5470521,Medizin
5470581,Berührungslose Messverfahren
5470581,Ultraschallschweißen
5470581,Wärmeimpulsschweißen
5470581,Werkstoffkunde
5470581,Versagensmechanik
5470581,Numerische Mechanik
5470581,Oberflächen- und Schichtanalytik
5470581,Induktionsschweißen
5470581,Materialmodellierung
5470581,Fügetechnik
5470581,Experimentelle Technik
5470602,Anorganische Chemie
5470602,Hydrogeochemie
5470602,Geomikrobiologie
5470602,Hydroinformatik
5470602,Organische Chemie
5470602,Umweltmineralogie
5470602,Physikalische und Theoretische Chemie
5470629,Biochemie
5470629,Physik
5470629,Biophysik
5470647,Molekulare Toxikologie
5470647,Molekulargenetik
5470647,Tumorbiologie
5470689,Germanistik
5470689,Religionsgeschichte
5470689,Theologie
5470689,Philosophie
5470689,Geschichtswissenschaft
5470710,Geschichtswissenschaft
5470710,Japanologie
5470710,Turkologie
5470729,Biochemie
5470729,Molekularbiologie
5470729,Molekulargenetik
5470729,Molekulare Medizin
5470751,Nichtlineare Dynamik
5470751,Optik
5470751,Physik
5470770,Biomechanik
5470770,Materialwissenschaften
5470770,Photogrammetrie
5470770,Paläontologie
5470770,Paläobotanik
5470770,Geochemie
5470770,Physiologie
5470770,Atmungsbiologie
5470770,Wildtierbiologie
5470770,Funktionsmorphologie
5470770,Zoologie
5470770,Tierernährung
5470786,Infektionsforschung
5470786,Krebsforschung
5470786,Mathematische Modellierung
5470786,Pharmakoepidemiologie
